Term,Overlap,Adjusted.P.value,Odds.Ratio,Combined.Score,Genes,ko_symbol,se_event,gene_number,db
Small GTPase Binding (GO:0031267),18/199,1.8439510073236262e-4,4.416975011404531,62.51471402545311,HACE1;PLEKHG2;SPHK2;DENND5B;GAPVD1;C9ORF72;STRN3;AKAP13;AP3M1;KIF3A;SGSM2;RAB3GAP2;KNTC1;PKN1;ERC1;DNM1L;EVI5;DOCK1,Rbm24,skipping,454,GO_Molecular_Function_2023
GTPase Binding (GO:0051020),19/225,1.8439510073236262e-4,4.100658408659748,56.63273542980665,HACE1;PLEKHG2;SPHK2;DENND5B;ENO1;GAPVD1;C9ORF72;STRN3;AKAP13;AP3M1;KIF3A;SGSM2;RAB3GAP2;KNTC1;PKN1;ERC1;DNM1L;EVI5;DOCK1,Rbm24,skipping,454,GO_Molecular_Function_2023
Nuclear Receptor Binding (GO:0016922),10/115,0.03587095447752173,4.17009867009867,33.921988470237686,MED1;TCF7L2;MED14;KDM4C;WBP2;TADA3;MMS19;BRD8;PKN1;TACC2,Rbm24,skipping,454,GO_Molecular_Function_2023
Intracellular Membrane-Bounded Organelle (GO:0043231),151/5175,0.03109833277547479,1.4404928948308844,12.025979496146148,ATF2;SCARB1;DGKD;HDAC10;DCAF8;PRDM2;ENO1;MKI67;CDC14B;PPP4R2;RBMX2;CHEK2;CPNE1;DAG1;KMT5B;KNTC1;NEPRO;MED1;MORC3;SLC30A9;TLE1;BORA;ESCO1;FBXW11;RFX1;PASK;THOC7;INIP;MSH3;AKAP9;MAPKAPK5;NSMF;SIK2;WDFY2;GEMIN8;PAXIP1;SRCAP;CUL3;PSEN2;HTRA2;C9ORF72;MTDH;FXR1;DHX30;RAB11FIP1;YBEY;PCBP3;FIGNL1;VTI1A;PIP5K1A;CLSPN;ECT2;BPTF;CTSA;TIA1;ZRANB1;HACE1;STK11IP;LTO1;CDC7;MEMO1;DNAJC13;FANCE;PRDX6;PTK2;CLK2;CLK1;MLLT10;DAB2;DLG1;HOOK2;CNOT2;GOLGB1;TADA3;MDM2;GTF2IRD1;MMS19;TCF4;OSBPL1A;MYD88;FGFR2;DENND1C;PHF3;CEP57;NCAPG2;DDX42;CHD6;MED15;ING1;RESF1;MED14;PPP6R3;DNM1L;RBM5;KDM6A;TOP3B;SUN1;TBP;RING1;SPHK2;STRADA;STRADB;PABPC4;ATRX;TOP3A;ETV4;PTBP2;UCHL5;AFTPH;TFDP2;MTF2;SPOPL;DNAJC8;BIRC2;RBM47;WBP2;STX16;MOSPD1;WIZ;MLLT3;CENPA;GNA13;CECR2;ZNRF1;SH3BP1;TNKS2;RSBN1L;PMS2;BRD8;NKTR;MUTYH;CASP8AP2;TCF7L2;SLF2;KDM4C;TAF15;SMOX;PCGF2;SWT1;HUWE1;PTPN13;MAPK12;GATAD2A;RNF146;ITCH;DOLPP1;TTC3;RGS12;PKN1;BCOR;SSBP4,Rbm24,skipping,454,GO_Cellular_Component_2023
Spindle (GO:0005819),14/210,0.03109833277547479,3.1412337662337664,25.16577155471718,CUL3;SPICE1;CDC7;CDC14B;EML4;TFDP2;KIF3A;CSPP1;TADA3;MMS19;ECT2;LSM14A;CLASP1;CLASP2,Rbm24,skipping,454,GO_Cellular_Component_2023
Mitotic Spindle (GO:0072686),11/143,0.03109833277547479,3.6519939804364183,28.309841500631265,EML4;TFDP2;CUL3;TADA3;CDC7;ECT2;LSM14A;HAUS2;CLASP1;CDC14B;CLASP2,Rbm24,skipping,454,GO_Cellular_Component_2023
Chromatin Modifying Enzymes R-HSA-3247509,22/238,0.007130831486222938,3.123783238366572,35.881758591689504,KMT2E;SMARCE1;KDM5C;KDM3A;SMARCC2;HDAC10;MEAF6;KDM2B;BRPF3;SETD6;MSL2;ZZZ3;ING3;NCOR1;KAT5;KANSL1;NSD2;TADA3;KMT5B;TBL1X;KMT5A;KDM6A,Rbm24,including,646,Reactome_2022
mRNA 3-End Processing R-HSA-72187,10/58,0.007130831486222938,6.324030398322851,70.31154805436458,FYTTD1;CPSF7;FIP1L1;ZC3H11A;PAPOLA;UPF3B;RNPS1;SLU7;SRSF11;U2AF1L4,Rbm24,including,646,Reactome_2022
Regulation Of TP53 Activity R-HSA-5633007,16/157,0.013054103805804705,3.4606326691433074,34.22754325541267,TBP;MEAF6;BRPF3;PRKAB1;BRIP1;ING3;PIP4P1;KAT5;AKT2;CHEK2;RBBP8;MAPKAPK5;MDM4;KMT5A;TAF2;MAP2K6,Rbm24,including,646,Reactome_2022
RNA Polymerase II Transcription Termination R-HSA-73856,10/67,0.013054103805804705,5.32301666114973,52.273794977340955,FYTTD1;CPSF7;FIP1L1;ZC3H11A;PAPOLA;UPF3B;RNPS1;SLU7;SRSF11;U2AF1L4,Rbm24,including,646,Reactome_2022
Organelle Biogenesis And Maintenance R-HSA-1852241,22/275,0.017773750782646962,2.661789297658863,24.707871782604034,DMAC2L;C2CD3;DYNLT2B;CEP164;IFT122;ASAP1;NRF1;PRKAB1;LZTFL1;MAPK12;SIRT3;ATAT1;NCOR1;CREB1;IFT81;PRKAR2B;MKS1;TBL1X;MARK4;RAB11FIP3;GABPA;CLASP1,Rbm24,including,646,Reactome_2022
RHO GTPase Cycle R-HSA-9012999,30/441,0.017773750782646962,2.2446440420892975,20.440284252696497,GARRE1;SRC;ITSN1;FAF2;ARHGAP1;ARHGAP17;UACA;ARHGAP12;ABR;AKAP13;SYDE1;DBT;NCK2;ANKFY1;PLXNA1;CPSF7;DST;RALGAPA1;STARD8;SCRIB;MACO1;PTPN13;MPP7;SENP1;NISCH;ALDH3A2;SLC4A7;ANLN;ABI2;DLG5,Rbm24,including,646,Reactome_2022
Signaling By Rho GTPases R-HSA-194315,39/644,0.018724848091921743,1.9911255735428268,17.720954131644547,GARRE1;SRC;ITSN1;FAF2;ARHGAP1;ARHGAP17;CENPA;UACA;ARHGAP12;ABR;AKAP13;SYDE1;DBT;NCK2;ANKFY1;PLXNA1;CLASP1;CLASP2;CPSF7;DST;RALGAPA1;STARD8;PPP2R5B;SCRIB;MACO1;PTPN13;PTK2;MPP7;SENP1;NISCH;ALDH3A2;SLC4A7;ANLN;ABI2;KANSL1;PRC1;DLG5;NF2;ITGB3BP,Rbm24,including,646,Reactome_2022
DNA Repair R-HSA-73894,23/310,0.02400410252540307,2.4526764391698035,20.892053388850716,INO80E;FANCM;EYA2;ACTR5;PNKP;XRCC3;REV1;GTF2H1;RAD23A;TERF2;FANCG;RAD52;BRIP1;HERC2;KAT5;CHEK2;NSD2;USP1;RBBP8;POLI;ERCC8;POLK;DTL,Rbm24,including,646,Reactome_2022
"Signaling By Rho GTPases, Miro GTPases And RHOBTB3 R-HSA-9716542",39/660,0.024022754571420904,1.9381690264148541,16.27965775799235,GARRE1;SRC;ITSN1;FAF2;ARHGAP1;ARHGAP17;CENPA;UACA;ARHGAP12;ABR;AKAP13;SYDE1;DBT;NCK2;ANKFY1;PLXNA1;CLASP1;CLASP2;CPSF7;DST;RALGAPA1;STARD8;PPP2R5B;SCRIB;MACO1;PTPN13;PTK2;MPP7;SENP1;NISCH;ALDH3A2;SLC4A7;ANLN;ABI2;KANSL1;PRC1;DLG5;NF2;ITGB3BP,Rbm24,including,646,Reactome_2022
Regulation Of TP53 Activity Thru Acetylation R-HSA-6804758,6/29,0.02683585965810502,7.879483695652174,64.48101064462134,ING3;PIP4P1;MEAF6;BRPF3;AKT2;MAP2K6,Rbm24,including,646,Reactome_2022
RND2 GTPase Cycle R-HSA-9696270,7/43,0.036324706732499726,5.878368979307947,45.765079276921846,ALDH3A2;NISCH;DST;DLG5;ARHGAP1;SCRIB;PTPN13,Rbm24,including,646,Reactome_2022
GTPase Binding (GO:0051020),21/225,0.006097729876973867,3.1541176470588237,35.24773513651161,USP6NL;HACE1;ANKRD27;GARRE1;ARHGAP1;TSC2;CIB1;STK19;AMBRA1;RASIP1;LSM2;STRN3;AKAP13;GGA1;GOLGA4;ABI2;AP1G1;SGSM2;PEX5;ANKFY1;RAB11FIP3,Rbm24,including,646,GO_Molecular_Function_2023
Small GTPase Binding (GO:0031267),19/199,0.006097729876973867,3.227946127946128,34.08525259700963,USP6NL;HACE1;ANKRD27;GARRE1;ARHGAP1;TSC2;CIB1;STK19;LSM2;STRN3;AKAP13;GGA1;GOLGA4;ABI2;AP1G1;SGSM2;PEX5;ANKFY1;RAB11FIP3,Rbm24,including,646,GO_Molecular_Function_2023
"Acyltransferase Activity, Transferring Groups Other Than Amino-Acyl Groups (GO:0016747)",9/64,0.02106113262985904,4.957642357642357,42.12805038130063,PORCN;KAT5;ESCO1;TAFAZZIN;DBT;MBOAT2;NAA16;ZDHHC16;SIRT2,Rbm24,including,646,GO_Molecular_Function_2023
Histone Deacetylase Activity (GO:0004407),5/18,0.02106113262985904,11.605064202568103,98.33085561961452,HDAC5;HDAC10;MIER1;SIRT2;SIRT3,Rbm24,including,646,GO_Molecular_Function_2023
Ubiquitin Conjugating Enzyme Binding (GO:0031624),6/28,0.02106113262985904,8.238068181818182,69.09883732210149,ZMYM2;RNF14;DCUN1D1;ARIH2;DCUN1D2;ARIH1,Rbm24,including,646,GO_Molecular_Function_2023
Methylation-Dependent Protein Binding (GO:0140034),9/68,0.02106113262985904,4.6205731314690155,37.10392753772815,KMT2E;ING3;ZZZ3;FMR1;MTF2;NCAPD3;JMJD7;ZMYND11;BPTF,Rbm24,including,646,GO_Molecular_Function_2023
Protein Serine/Threonine Kinase Activity (GO:0004674),24/342,0.02106113262985904,2.3097737062427957,18.481808648689743,SRPK2;NEK9;CHUK;CDC7;STK19;VRK1;PRKAB1;CLK4;ACVR2A;MAPK12;AKT2;CHEK2;PHKG2;SIK3;TLK2;TLK1;MAPKAPK5;MARK4;MAP3K7;MARK3;CSNK1G2;MARK2;CAMK1G;MAP2K6,Rbm24,including,646,GO_Molecular_Function_2023
Tau-Protein Kinase Activity (GO:0050321),5/20,0.02106113262985904,10.056682267290691,79.78586686414991,PHKG2;SIK3;MARK4;MARK3;MARK2,Rbm24,including,646,GO_Molecular_Function_2023
Methylated Histone Binding (GO:0035064),9/71,0.02357833135089619,4.3963133640553,33.86451726637533,KMT2E;ING3;ZZZ3;FMR1;MTF2;NCAPD3;JMJD7;ZMYND11;BPTF,Rbm24,including,646,GO_Molecular_Function_2023
Ubiquitin-Like Protein Conjugating Enzyme Binding (GO:0044390),6/34,0.032400797184690966,6.470758928571429,47.10531224102744,ZMYM2;RNF14;DCUN1D1;ARIH2;DCUN1D2;ARIH1,Rbm24,including,646,GO_Molecular_Function_2023
"Phosphotransferase Activity, Alcohol Group As Acceptor (GO:0016773)",9/77,0.035215313497854867,4.007156708837381,28.45526726998511,PANK4;NADK2;PANK2;DGKD;PKM;MVK;CHKA;FCSK;IPMK,Rbm24,including,646,GO_Molecular_Function_2023
Mitotic Sister Chromatid Segregation (GO:0000070),15/111,0.005542980759415156,4.76872028526149,60.885922201594646,AKAP8L;KIF23;WAPL;EML4;WRAP73;STAG1;PRC1;CHEK2;NUSAP1;KMT5A;NCAPD3;PIBF1;CLASP1;DIS3L2;CLASP2,Rbm24,including,646,GO_Biological_Process_2023
Chromatin Remodeling (GO:0006338),22/228,0.005542980759415156,3.2771346776201145,39.899294539108325,SRPK2;SMARCE1;HDAC5;INO80E;KDM5C;USP15;SMARCC2;KDM2B;PCGF2;ACTR5;HP1BP3;CHD6;BAZ2B;SIRT2;HPF1;KAT5;MIER1;MTF2;SMARCAD1;TRIP12;BPTF;KDM6A,Rbm24,including,646,GO_Biological_Process_2023
Protein Phosphorylation (GO:0006468),36/500,0.005542980759415156,2.4026286037309212,28.562769376275345,ATF2;USP15;CCNT1;SRC;STK19;AKT2;CHEK2;TLK2;TLK1;MARK4;MAP3K7;MARK3;MARK2;SRPK2;UVRAG;TBP;CHUK;STRADA;CDC7;VRK1;ATG13;PRKAB1;CLK4;PTK2;ACVR2A;MAPK12;CREB1;ABI2;SIK3;TAF8;COQ8B;MAPKAPK5;BIRC6;CSNK1G2;CAMK1G;TAF2,Rbm24,including,646,GO_Biological_Process_2023
DNA Damage Response (GO:0006974),28/384,0.027000864182075562,2.4178393512963163,23.617011454206253,ATF2;FMR1;PNKP;CIB1;ENDOV;HPF1;HERC2;KAT5;CHEK2;TLK2;RBBP8;POLI;KMT5B;BID;MAP2K6;UVRAG;DDX11;XRCC3;GTF2H1;VRK1;ZDHHC16;USP28;FANCG;MAPK12;POLA1;ERCC8;TRIP12;FLYWCH1,Rbm24,including,646,GO_Biological_Process_2023
Regulation Of Cell Division (GO:0051302),11/83,0.027000864182075562,4.63915135608049,44.27414075281756,UVRAG;ZZZ3;PRC1;CSPP1;TADA3;CIB1;BIRC6;KLHL13;ENTR1;RAB11FIP3;SIRT2,Rbm24,including,646,GO_Biological_Process_2023
Mitotic Spindle Assembly (GO:0090307),8/44,0.027000864182075562,6.72866597004528,64.194098597911335,WRAP73;STAG1;PRC1;CHEK2;KIF23;PIBF1;CLASP1;CLASP2,Rbm24,including,646,GO_Biological_Process_2023
DNA Repair (GO:0006281),23/291,0.027000864182075562,2.6291775472556957,24.865444226024174,UVRAG;FANCM;FMR1;ACTR5;PNKP;XRCC3;HUWE1;GTF2H1;CIB1;RAD23A;APTX;FANCG;RAD52;POLA1;ENDOV;HPF1;KAT5;CHEK2;NSD2;RBBP8;POLI;ERCC8;KMT5B,Rbm24,including,646,GO_Biological_Process_2023
Organelle Assembly (GO:0070925),24/322,0.039266625127364285,2.4673816871317897,21.95651394758588,C2CD3;YTHDF3;FMR1;DYNLT2B;CEP164;RFX3;IFT122;ASAP1;AMBRA1;ATG13;FXR1;ATAT1;ABLIM1;TBC1D31;IFT81;AP1G1;RP2;MKS1;TOGARAM1;TRAPPC14;CEP20;ATG7;PIBF1;RAB8B,Rbm24,including,646,GO_Biological_Process_2023
Regulation Of Embryonic Development (GO:0045995),9/62,0.039266625127364285,5.145256360889784,45.00056303486833,BAG6;INO80E;ZZZ3;ACTR5;TADA3;TRIP12;PHLDB2;CLASP1;CLASP2,Rbm24,including,646,GO_Biological_Process_2023
Cilium Organization (GO:0044782),19/228,0.039266625127364285,2.7758445701029433,24.222902660655393,C2CD3;DYNLT2B;CEP164;RFX3;IFT122;ASAP1;ATAT1;ABLIM1;TBC1D31;IFT81;RP2;MKS1;TOGARAM1;TRAPPC14;MAP4;CEP20;MARK4;PIBF1;RAB8B,Rbm24,including,646,GO_Biological_Process_2023
Intracellular Membrane-Bounded Organelle (GO:0043231),244/5175,2.4002146115128244e-9,1.7753515932808075,45.0391938941998,PANK4;ATF2;PANK2;HDAC10;ZFYVE9;ITSN1;RBPJ;HERC2;KAT5;AKT2;CHEK2;CPNE1;ANKFY1;UBAP2L;TRIM21;ESCO1;DDX11;DNTTIP1;CIRBP;RFX3;ARMC8;RFX1;JMJD7;ISL1;PRKAB1;MED7;NISCH;BIN1;MEAF6;DCUN1D1;DCUN1D2;BAZ2B;MTDH;UBE2J1;FXR1;DHX30;RAB11FIP1;MIER1;DPH3;RAB11FIP3;LYAR;SEC31A;SRPK2;HACE1;TIPARP;DDIAS;XRCC3;INTS2;UPF3B;TMEM192;CDC7;NTAN1;PTK2;WAPL;POLA1;STAG1;GTF2IRD1;RNPS1;PKIG;RPAIN;SETD5;SLC35F6;SETD6;TDRP;ZBTB8OS;MED15;SMG6;ING3;ZMYM2;ARIH2;UBXN7;CTSH;ARIH1;GABPA;APPL1;GRIPAP1;WDR37;STRADA;TFE3;KIF23;TERF2;SIRT2;SIRT3;GCFC2;MED22;NCOR1;MTF2;ALDOA;SLU7;CIPC;AKAP8;CENPA;ECPAS;GGA1;ARVCF;FAM172A;RNF138;NSD2;USP1;TBL1X;APBB3;SRSF11;NKTR;EVC2;RANBP3;ATAD5;PCGF5;PCGF2;HUWE1;APTX;SEC23IP;TTC3;TRIP12;DBR1;DGKD;CCNT1;FMR1;CTNND1;PRDM5;FAM107A;UBP1;STK19;CIB1;VIRMA;PAPOLA;SMARCAD1;KMT5B;TRAPPC14;KMT5A;MAP3K7;GTF2I;TLE1;KDM2B;RALGAPA1;PUS1;IPMK;TSC2;VRK1;CFAP410;MOB3A;ALDH3A2;MAPKAPK5;CSNK1G2;KMT2E;ANKRD16;GPATCH2L;BAG6;SBNO1;SAFB2;CAMTA1;TBC1D14;RPRD1B;PIBF1;BPTF;OSBPL9;UBE2F;CPSF7;ANKRD27;POU2F1;BRPF3;CCDC137;RFXANK;MACO1;CLK4;AZIN1;LSM2;UBOX5;DAB2;TADA3;MDM4;NF2;EIF4G1;MDM1;DIDO1;KDM5C;RNF14;AKAP8L;CEP164;HP1BP3;CHD6;UFSP2;RESF1;SENP6;HPF1;AP1G1;TLK2;TLK1;YAF2;ILKAP;KDM6A;TBP;DST;ACTR5;MSL2;PPP2R5B;RAD23A;TRNAU1AP;SENP1;EPN2;PKM;ELF2;CREB1;TFDP2;DNAJC5;BIRC6;ZMYND11;GAPDH;ITGB3BP;HDAC5;KDM3A;RBM47;USP15;MVK;PPM1M;MGRN1;NAA20;PNKP;WIZ;AMBRA1;CLCN3;UACA;CBS;FAM241B;RBBP8;DRAM2;SMARCE1;TCF7L2;EYA2;TPRKB;PTPN12;EXOG;PTPN13;MCOLN1;USP28;CHFR;MAPK12;RAD52;KANSL1;PRC1;TAF8;ERCC8;RGS12;NAA16;TAF2,Rbm24,including,646,GO_Cellular_Component_2023
Nucleus (GO:0005634),215/4487,1.0939277960915414e-8,1.7611197285295932,40.786158850764814,PANK4;ATF2;PANK2;HDAC10;RBPJ;HERC2;KAT5;AKT2;CHEK2;CPNE1;UBAP2L;TRIM21;ESCO1;DDX11;DNTTIP1;CIRBP;RFX3;ARMC8;JMJD7;ISL1;PRKAB1;MED7;BIN1;MEAF6;DCUN1D1;DCUN1D2;BAZ2B;MTDH;UBE2J1;FXR1;DHX30;MIER1;DPH3;LYAR;SRPK2;HACE1;TIPARP;DDIAS;XRCC3;INTS2;UPF3B;TMEM192;CDC7;NTAN1;PTK2;WAPL;POLA1;STAG1;GTF2IRD1;RNPS1;PKIG;RPAIN;SETD5;SETD6;TDRP;ZBTB8OS;MED15;SMG6;ING3;ZMYM2;ARIH2;UBXN7;ARIH1;GABPA;APPL1;WDR37;STRADA;TFE3;KIF23;TERF2;SIRT2;SIRT3;GCFC2;MED22;NCOR1;MTF2;ALDOA;SLU7;CIPC;AKAP8;CENPA;ECPAS;ARVCF;FAM172A;RNF138;NSD2;USP1;TBL1X;APBB3;SRSF11;NKTR;EVC2;RANBP3;ATAD5;PCGF5;PCGF2;HUWE1;APTX;TTC3;TRIP12;DBR1;DGKD;CCNT1;FMR1;CTNND1;PRDM5;FAM107A;UBP1;STK19;CIB1;VIRMA;PAPOLA;SMARCAD1;KMT5B;KMT5A;MAP3K7;GTF2I;TLE1;KDM2B;RALGAPA1;PUS1;IPMK;TSC2;VRK1;MOB3A;MAPKAPK5;CSNK1G2;KMT2E;ANKRD16;GPATCH2L;BAG6;SBNO1;SAFB2;CAMTA1;RPRD1B;PIBF1;BPTF;UBE2F;CPSF7;POU2F1;BRPF3;CCDC137;RFXANK;MACO1;CLK4;AZIN1;LSM2;UBOX5;TADA3;MDM4;NF2;EIF4G1;MDM1;DIDO1;KDM5C;RNF14;AKAP8L;HP1BP3;CHD6;UFSP2;RESF1;SENP6;HPF1;TLK2;TLK1;YAF2;ILKAP;KDM6A;TBP;DST;ACTR5;MSL2;PPP2R5B;RAD23A;TRNAU1AP;SENP1;PKM;ELF2;CREB1;TFDP2;BIRC6;ZMYND11;GAPDH;ITGB3BP;HDAC5;KDM3A;RBM47;USP15;PPM1M;MGRN1;NAA20;PNKP;WIZ;AMBRA1;UACA;CBS;RBBP8;SMARCE1;TCF7L2;EYA2;TPRKB;PTPN12;EXOG;PTPN13;USP28;CHFR;MAPK12;RAD52;KANSL1;PRC1;TAF8;ERCC8;RGS12;NAA16;TAF2,Rbm24,including,646,GO_Cellular_Component_2023
Mitotic Spindle (GO:0072686),17/143,3.1820860041297975e-4,4.124410124410124,51.45470559598414,CDC7;KIF23;WAPL;SIRT2;EML4;ATAT1;WRAP73;ZZZ3;NCOR1;TFDP2;TADA3;NUSAP1;TRAPPC14;MAP4;TBL1X;CLASP1;CLASP2,Rbm24,including,646,GO_Cellular_Component_2023
Spindle (GO:0005819),19/210,0.003401601238696063,3.040298270664763,29.851702332607594,CDC7;KIF23;WAPL;SIRT2;EML4;ATAT1;WRAP73;ZZZ3;NCOR1;TFDP2;PRC1;CSPP1;TADA3;NUSAP1;TRAPPC14;MAP4;TBL1X;CLASP1;CLASP2,Rbm24,including,646,GO_Cellular_Component_2023
EGF EGFR Signaling Pathway WP437,15/159,0.00943344421954228,3.908980582524272,41.85004193954001,USP6NL;LIMK2;PRKCD;INPPL1;EPS15L1;PTPN12;AP2B1;CBL;PRKCZ;PTK2;EPN1;ITCH;CREB1;RPS6KA2;ABI1,Rpl22l1,skipping,530,WikiPathway_2023_Human
Insulin Signaling WP481,14/160,0.020000570182617285,3.591058723585006,33.25851908534237,PRKAA1;PRKCD;INPPL1;TSC2;PIK3C2A;CBL;PRKCZ;GRB14;KIF3A;RPS6KA2;RPS6KB2;MAP3K7;PFKM;MAP3K12,Rpl22l1,skipping,530,WikiPathway_2023_Human
Glioblastoma Signaling Pathways WP2261,9/82,0.04446243874093007,4.590040228222859,36.98255571008299,PRKCD;CDK2;MDM2;TSC2;BRCA1;PIK3C2A;CBL;PRKCZ;FGFR2,Rpl22l1,skipping,530,WikiPathway_2023_Human
Cell Cycle R-HSA-1640170,36/654,0.030691824775830736,2.223025824456586,23.04887773609346,BLM;PRIM1;HJURP;BRCA1;PDS5A;SYCE2;PCM1;PPP6R3;PSMF1;BTRC;E2F6;LCMT1;CLASP1;CDK5RAP2;CEP78;NDEL1;CENPT;ACD;SUN1;CENPX;ESCO1;NUP155;ODF2;FBXW11;CDC7;VRK1;PPP2R5C;TFDP2;KANSL1;NME7;CDK2;CENPL;MDM2;UBE2V2;CHMP2A;NUP35,Rpl22l1,skipping,530,Reactome_2022
RND2 GTPase Cycle R-HSA-9696270,7/43,0.048634883872034386,7.2253027405991075,64.9793915876749,VANGL1;VANGL2;DLG5;FRS2;PTPN13;LRRC1;KTN1,Rpl22l1,skipping,530,Reactome_2022
Membrane Trafficking R-HSA-199991,32/599,0.048634883872034386,2.1422409213573874,18.87161851364882,USP6NL;MCFD2;GOSR2;KLC1;PIK3C2A;CBL;CLINT1;KIF15;GGA1;ARFRP1;KIF3A;PPP6R3;TBC1D14;CTSC;SH3D19;SEC16A;GALNT1;VPS37C;TSC2;TRAPPC8;VPS37A;EPS15L1;TRAPPC9;AP2B1;EPN1;EPN2;TBC1D20;GOLGB1;CHMP2A;RAB3GAP2;NAA35;PICALM,Rpl22l1,skipping,530,Reactome_2022
Fanconi anemia pathway,8/54,0.01087556049393865,6.4714309511910715,60.87830459586274,TOP3B;BLM;CENPX;FANCD2;FANCA;PMS2;BRCA1;PALB2,Rpl22l1,skipping,530,KEGG_2021_Human
Ubiquitin mediated proteolysis,13/140,0.01087556049393865,3.8297720038380114,35.60213548928263,UBE2H;CUL5;FBXW11;WWP1;UBE3A;BRCA1;CBL;ITCH;MDM2;UBA3;TRIP12;BTRC;BIRC2,Rpl22l1,skipping,530,KEGG_2021_Human
AMPK signaling pathway,11/120,0.027717025690137162,3.7646674090965337,29.94851751088492,PRKAA1;G6PC3;CREB1;STRADA;RPS6KB2;TSC2;PPP2R5C;CPT1C;MAP3K7;PFKM;PCK2,Rpl22l1,skipping,530,KEGG_2021_Human
Homologous recombination,6/41,0.04077397572586659,6.358233369683751,46.29733023881172,TOP3B;BLM;RAD51D;RAD54L;BRCA1;PALB2,Rpl22l1,skipping,530,KEGG_2021_Human
EGF/EGFR signaling pathway,14/141,0.018557396855083466,4.132362815113227,44.03080128755329,USP6NL;LIMK2;PRKCD;INPPL1;EPS15L1;AP2B1;PTPN12;PRKCZ;PTK2;EPN1;ITCH;CREB1;RPS6KA2;ABI1,Rpl22l1,skipping,530,BioPlanet_2019
Ubiquitin-mediated proteolysis,13/136,0.026797975192208393,3.955135160635939,37.947583908239544,UBE2H;CUL5;FBXW11;WWP1;UBE3A;BRCA1;CBL;ITCH;MDM2;UBA3;TRIP12;BTRC;BIRC2,Rpl22l1,skipping,530,BioPlanet_2019
PI3K cascade,8/57,0.03191881514090925,6.074282586597858,54.75464979751817,FGF8;CREB1;CHUK;RPS6KB2;MDM2;TSC2;FRS2;FGFR2,Rpl22l1,skipping,530,BioPlanet_2019
Ubiquitin-Like Protein Transferase Activity (GO:0019787),20/240,0.002648806867455037,3.4313725490196076,40.85017388824014,BRAP;UBE2H;AREL1;CUL5;FBXW11;RNF25;WWP1;UBE3A;BRCA1;CBL;RMND5B;ITCH;ATG16L1;TTC3;MDM2;UBA3;BCOR;BTRC;BIRC2;TRIM33,Rpl22l1,skipping,530,GO_Molecular_Function_2023
RNA Binding (GO:0003723),62/1411,0.011684146161245659,1.779573980092883,17.31104977172463,PINX1;DDX42;BRCA1;RPL10A;ZCCHC17;YBX3;FARS2;SART3;FBRSL1;MRPL9;RBM6;TOP3B;DDX59;DDX11;DARS2;ACTN4;SAFB;PATL1;UCHL5;SARS2;PKM;SLTM;NOA1;RBMS1;SRSF4;HNRNPH2;SREK1;DUS3L;MACF1;STAU1;YTHDC1;RTF1;RRP7A;RNASEH1;HNRNPDL;PCBP3;PES1;PCBP2;DHX37;FLNB;ZC3H13;SMNDC1;RBM39;TRMT10B;TIA1;YTHDF3;RBPMS;YLPM1;UPF3B;RSRC2;HELZ;LSM4;PRRC2B;SNUPN;KTN1;CHERP;HNRNPM;ZNFX1;GOLGB1;ZYX;ACIN1;TNRC6A,Rpl22l1,skipping,530,GO_Molecular_Function_2023
Ubiquitin-Protein Transferase Activity (GO:0004842),25/412,0.015047165698498286,2.441092946503953,22.13879721190327,CUL5;LTN1;RNF19B;UBE3A;BRCA1;CBL;RMND5B;RFFL;BTRC;BRAP;UBE2H;AREL1;RNF25;FBXW11;WWP1;PEX2;ITCH;NEURL4;TTC3;MDM2;TRIP12;BCOR;RNF185;BIRC2;TRIM33,Rpl22l1,skipping,530,GO_Molecular_Function_2023
Ubiquitin-Dependent Protein Catabolic Process (GO:0006511),26/367,0.013717912378413334,2.8938812083973375,34.80627473775201,RNF19B;CBL;BAG6;RMND5B;NUB1;PCBP2;PSMF1;BTRC;RFFL;UBQLN4;ZRANB1;UBE2H;AREL1;FBXW11;RNF25;VPS37C;WWP1;VPS37A;PPP2R5C;ITCH;TTC3;CHMP2A;MDM2;TRIP12;RNF185;BIRC2,Rpl22l1,skipping,530,GO_Biological_Process_2023
Clathrin Coat (GO:0030118),5/16,0.010595992319203645,16.847619047619048,169.01660086998297,EPS15L1;CLINT1;EPN1;EPN2;PICALM,Rpl22l1,skipping,530,GO_Cellular_Component_2023
